139.  -5.917642 -16.1702  -0.0000566  -0.000035544
140.   -5.842193 -16.0807  -0.0000553  -0.000035239
141.   -5.768123 -15.9921  -0.0000540  -0.000034929
142.  -5.695399 -15.9042  -0.0000528  -0.000034617
143.   -5.623989 -15.8171  -0.0000515  -0.000034302
144.   -5.553865 -15.7307  -0.0000504  -0.000033984
145.   -5.484997 -15.6452  -0.0000492  -0.000033665
146.  -5.417355 -15.5604  -0.0000481  -0.000033344
147.   -5.350913 -15.4763  -0.0000470  -0.000033021
148.   -5.285643 -15.3931  -0.0000459  -0.000032698
149.   -5.221519 -15.3105  -0.0000449  -0.000032375
150.   -5.158515 -15.2287  -0.0000439  -0.000032051
151.   -5.096607 -15.1476  -0.0000429  -0.000031727
152.   -5.035769 -15.0673  -0.0000420  -0.000031404
153.   -4.975979 -14.9877  -0.0000411  -0.000031081
154.   -4.917212 -14.9087  -0.0000402  -0.000030759
155.   -4.859448 -14.8305  -0.0000393  -0.000030438
156.   -4.802664 -14.7530  -0.0000384  -0.000030118
157.   -4.746838 -14.6762  -0.0000376  -0.000029799
158.   -4.691951 -14.6001  -0.0000368  -0.000029482
159.   -4.637981 -14.5246  -0.0000360  -0.000029166
160.   -4.584909 -14.4498  -0.0000352  -0.000028852
161.   -4.532717 -14.3757  -0.0000345  -0.000028540
162.   -4.481384 -14.3023  -0.0000337  -0.000028230
163.   -4.430894 -14.2294  -0.0000330  -0.000027922
164.   -4.381228 -14.1573  -0.0000323  -0.000027616
165.   -4.332369 -14.0857  -0.0000316  -0.000027313
166.   -4.284300 -14.0149  -0.0000310  -0.000027012
167.   -4.237005 -13.9446  -0.0000303  -0.000026713
168.  -4.190468 -13.8749  -0.0000297  -0.000026417
169.   -4.144673 -13.8059  -0.0000291  -0.000026124
170.   -4.099605 -13.7375  -0.0000285  -0.000025833
171.   -4.055248 -13.6696  -0.0000279  -0.000025544
172.   -4.011590 -13.6024  -0.0000274  -0.000025259
173.   -3.968614 -13.5357  -0.0000268  -0.000024976
174.   -3.926308 -13.4696  -0.0000263  -0.000024695
175.   -3.884658 -13.4041  -0.0000257  -0.000024418
176.   -3.843651 -13.3392  -0.0000252  -0.000024143
177.   -3.803275 -13.2748  -0.0000247  -0.000023872
178.  -3.763516 -13.2110  -0.0000242  -0.000023603
179.   -3.724362 -13.1478  -0.0000237  -0.000023337
180.   -3.685802 -13.0850  -0.0000233  -0.000023073
181.   -3.647824 -13.0228  -0.0000228  -0.000022813
182.  -3.610416 -12.9612  -0.0000224  -0.000022556
183.   -3.573568 -12.9001  -0.0000219  -0.000022301
